"dpi_max.OPG","EH_ID","infection_isolate","labels","Exp_ID"
7,"LM0278","Brandenburg64 (E. ferrisi)","COS","Exp_005_2b"
8,"LM0179","Brandenburg88 (E. falciformis)","OQZ","Exp_005_1a"
8,"LM0180","Brandenburg88 (E. falciformis)","CGI","Exp_005_1a"
8,"LM0181","Brandenburg88 (E. falciformis)","LPT","Exp_005_1a"
8,"LM0183","Brandenburg88 (E. falciformis)","DIY","Exp_005_1a"
8,"LM0184","Brandenburg88 (E. falciformis)","LSU","Exp_005_1a"
8,"LM0185","Brandenburg88 (E. falciformis)","DMV","Exp_005_1a"
8,"LM0186","Brandenburg88 (E. falciformis)","JPY","Exp_005_1a"
8,"LM0188","Brandenburg88 (E. falciformis)","DET","Exp_005_1a"
8,"LM0190","Brandenburg88 (E. falciformis)","AIZ","Exp_005_1a"
8,"LM0191","Brandenburg88 (E. falciformis)","HOP","Exp_005_1a"
8,"LM0192","Brandenburg88 (E. falciformis)","QSY","Exp_005_1a"
8,"LM0194","Brandenburg88 (E. falciformis)","DEY","Exp_005_1a"
8,"LM0195","Brandenburg88 (E. falciformis)","DPW","Exp_005_1a"
8,"LM0196","Brandenburg88 (E. falciformis)","DLZ","Exp_005_1a"
8,"LM0197","Brandenburg88 (E. falciformis)","JKZ","Exp_005_1a"
8,"LM0198","Brandenburg88 (E. falciformis)","AJQ","Exp_005_1a"
8,"LM0199","Brandenburg88 (E. falciformis)","FKS","Exp_005_1a"
8,"LM0200","Brandenburg88 (E. falciformis)","IKW","Exp_005_1a"
8,"LM0201","Brandenburg88 (E. falciformis)","DPR","Exp_005_1a"
8,"LM0203","Brandenburg88 (E. falciformis)","BCO","Exp_005_1a"
8,"LM0227","Brandenburg88 (E. falciformis)","KQR","Exp_005_2a"
8,"LM0228","Brandenburg88 (E. falciformis)","ATY","Exp_005_2a"
8,"LM0229","Brandenburg88 (E. falciformis)","BHK","Exp_005_2a"
8,"LM0232","Brandenburg88 (E. falciformis)","BDG","Exp_005_2a"
8,"LM0233","Brandenburg88 (E. falciformis)","NSY","Exp_005_2a"
8,"LM0234","Brandenburg88 (E. falciformis)","EQW","Exp_005_2a"
8,"LM0235","Brandenburg88 (E. falciformis)","DQZ","Exp_005_2a"
8,"LM0236","Brandenburg88 (E. falciformis)","JTW","Exp_005_2a"
8,"LM0238","Brandenburg88 (E. falciformis)","NQW","Exp_005_2a"
8,"LM0240","Brandenburg88 (E. falciformis)","AGU","Exp_005_2a"
8,"LM0241","Brandenburg88 (E. falciformis)","IUZ","Exp_005_2a"
8,"LM0243","Brandenburg88 (E. falciformis)","ABH","Exp_005_2a"
8,"LM0245","Brandenburg88 (E. falciformis)","DLX","Exp_005_2a"
8,"LM0246","Brandenburg88 (E. falciformis)","AMS","Exp_005_2a"
8,"LM0247","Brandenburg88 (E. falciformis)","GQS","Exp_005_2a"
8,"LM0248","Brandenburg88 (E. falciformis)","AIV","Exp_005_2a"
8,"LM0251","Brandenburg88 (E. falciformis)","ISU","Exp_005_2a"
8,"LM0252","Brandenburg88 (E. falciformis)","FHO","Exp_005_2a"
8,"LM0254","Brandenburg88 (E. falciformis)","EFT","Exp_005_2a"
8,"LM0256","Brandenburg88 (E. falciformis)","ABE","Exp_005_2a"
8,"LM0257","Brandenburg88 (E. falciformis)","JKN","Exp_005_2a"
8,"LM0280","Brandenburg64 (E. ferrisi)","BCT","Exp_005_2b"
8,"LM0289","Brandenburg64 (E. ferrisi)","JST","Exp_005_2b"
9,"LM0182","Brandenburg88 (E. falciformis)","JSW","Exp_005_1a"
9,"LM0189","Brandenburg88 (E. falciformis)","KWX","Exp_005_1a"
9,"LM0202","Brandenburg88 (E. falciformis)","CMU","Exp_005_1a"
9,"LM0231","Brandenburg88 (E. falciformis)","IWY","Exp_005_2a"
9,"LM0239","Brandenburg88 (E. falciformis)","CFW","Exp_005_2a"
9,"LM0242","Brandenburg88 (E. falciformis)","ALN","Exp_005_2a"
